,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
155603,2019072268,40.5127,-79.998,BABCOCK BL,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155605,2019072286,40.4664,-80.0605,BOQUET ST,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155617,2019072442,40.398,-79.9867,CONCORDIA ST,1,1.0,3.0,1.0,2019,5,17.0,2019-7,True
155621,2019068647,40.3623,-79.8261,ARCANNIA ST,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155626,2019068692,40.366,-79.9494,BRENTWOOD RD,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155633,2019083039,40.4502,-80.1077,LORISH RD,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
155670,2019062738,40.4573,-79.909,HAMILTON AV,1,1.0,3.0,1.0,2019,5,17.0,2019-6,True
155673,2019083097,40.4635,-79.7047,SANDUNE DR,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155681,2019072508,40.6447,-79.9382,DICKEY RD,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
155725,2019083131,40.4352,-80.1456,PENN LINCOLN PY,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155745,2019079443,40.5145,-80.0294,RIDGEWOOD AV,1,1.0,3.0,1.0,2019,4,17.0,2019-7,True
155758,2019086335,40.5399,-79.8232,TURNPIKE RAMP RD,1,1.0,3.0,1.0,2019,2,17.0,2019-8,True
155764,2019068995,40.4877,-79.9391,BUTLER ST,1,1.0,3.0,1.0,2019,3,17.0,2019-7,True
155768,2019079484,40.331,-79.9601,OLD CLAIRTON RD,1,1.0,3.0,1.0,2019,4,17.0,2019-8,True
155772,2019062891,40.3468,-79.7924,JACKS RUN RD,1,1.0,3.0,1.0,2019,6,17.0,2019-6,True
155776,2019083289,40.3823,-79.8688,HOFFMAN BL,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
155799,2019076184,40.4398,-80.0614,E STEUBEN ST,1,1.0,3.0,1.0,2019,2,17.0,2019-7,True
155805,2019086392,40.4354,-79.7882,WILLIAM PENN HW,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
